state_family,M,regime,model_type,model_label,instances,restarts_per_instance,gap_abs_sdp_median,gap_abs_sdp_q1,gap_abs_sdp_q3,p_succ_median,p_succ_q1,p_succ_q3,M_over_d,d,gap_abs_sdp_count,gap_abs_sdp_max,gap_abs_sdp_min,n_sys,p_succ_count,p_succ_max,p_succ_min,state_family_label
haar,16,M=d,full_ucr,full-UCR,10,5,-6.388687133096482e-06,-1.611250821051402e-05,2.0516393735847682e-06,0.7315812408924103,0.7245301157236099,0.7373802363872528,1.0,16,10,6.754459995605977e-05,-3.10911813067305e-05,4,10,0.7624078989028931,0.7159223556518555,Haar-random
haar,16,M=d,walsh_degree_1,WD-1,10,5,-1.2710098687307436e-05,-2.3516411204876908e-05,-1.0036440798805168e-05,0.7315534949302673,0.7245375365018845,0.7373800873756409,1.0,16,10,2.802649536626234e-05,-4.1223970918546904e-05,4,10,0.7624287605285645,0.7160219550132751,Haar-random
haar,17,M=d+1,full_ucr,full-UCR,10,5,1.3404302784347788e-05,-8.531394757149702e-06,5.27405264555969e-05,0.7103696465492249,0.7018922716379166,0.7141807228326797,1.0625,16,10,0.0002494895174962597,-2.7233990591235546e-05,4,10,0.7176669836044312,0.6797209978103638,Haar-random
haar,17,M=d+1,walsh_degree_4,WD-4,10,5,9.005626252295285e-05,-2.191285459529624e-06,0.000177580577182479,0.7102772295475006,0.7014964520931244,0.7142105549573898,1.0625,16,10,0.0004702263747041746,-1.4553867182742763e-05,4,10,0.7176587581634521,0.6797097325325012,Haar-random
haar,20,M/d=1.25,full_ucr,full-UCR,10,5,8.406710141189988e-05,6.158652809701293e-05,0.00016496320898207184,0.6385646462440491,0.6306635737419128,0.6458933800458908,1.25,16,10,0.000788986224212751,3.339676097280364e-05,4,10,0.6502627730369568,0.614619791507721,Haar-random
haar,20,M/d=1.25,walsh_degree_4,WD-4,10,5,0.0006511061859234557,0.0001587915759048153,0.0041034682500001585,0.638422429561615,0.6305925846099854,0.6407136023044586,1.25,16,10,0.01067149081292107,-6.358580328935659e-11,4,10,0.6485516428947449,0.614567220211029,Haar-random
weyl_heisenberg,16,M=d,full_ucr,full-UCR,10,5,-6.273740422446661e-06,-1.2750680576628648e-05,-1.0473590068560412e-06,0.7450029253959656,0.7267267853021622,0.7576427161693573,1.0,16,10,5.099002568664801e-05,-3.37144046987925e-05,4,10,0.8036311268806458,0.7199463248252869,Weyl--Heisenberg
weyl_heisenberg,16,M=d,walsh_degree_1,WD-1,10,5,-6.434712382374919e-07,-1.5046652116962322e-05,3.341226029404676e-05,0.7449801564216614,0.7267638295888901,0.7576577961444855,1.0,16,10,0.00014108908482945992,-2.995931207794289e-05,4,10,0.8034647107124329,0.719942569732666,Weyl--Heisenberg
weyl_heisenberg,17,M=d+1,full_ucr,full-UCR,10,5,6.612250616683246e-05,2.908014768140954e-05,0.00010805850737766187,0.7034608423709869,0.6918046772480011,0.7262963652610779,1.0625,16,10,0.00043908299689399133,-2.2084721012394226e-05,4,10,0.7547410130500793,0.6508883237838745,Weyl--Heisenberg
weyl_heisenberg,17,M=d+1,walsh_degree_4,WD-4,10,5,0.00024045772339192917,5.7117242759363585e-05,0.0032834119914726956,0.6996349692344666,0.6911187022924423,0.7263113111257553,1.0625,16,10,0.006494504477562502,2.8259741542191463e-05,4,10,0.749853789806366,0.6497341990470886,Weyl--Heisenberg
weyl_heisenberg,20,M/d=1.25,full_ucr,full-UCR,10,5,0.00010176392302357895,1.1822337347533463e-05,0.0001760391915281989,0.6627337634563446,0.6404776275157928,0.6705752015113831,1.25,16,10,0.000231653083024419,-6.771798499727311e-06,4,10,0.6788161396980286,0.6266506314277649,Weyl--Heisenberg
weyl_heisenberg,20,M/d=1.25,walsh_degree_4,WD-4,10,5,0.0012801301879188376,0.00014841720982539108,0.0032984123156638567,0.6604872941970825,0.6373415738344193,0.6669665277004242,1.25,16,10,0.009347229827104009,2.8443464833438625e-05,4,10,0.6774012446403503,0.626570463180542,Weyl--Heisenberg
