instance_id,n_sys,d,M,M_over_d,benchmark_type,ensemble_name,state_generation,state_dtype,basis_order,stateprep_operation,stateprep_decomposition,ensemble_seed,benchmark_internal_seed,data_seed,nested_max_m,fix_global_phase,duplicate_policy,prior_type,raw_outcomes,effective_m_outcomes,projection_strategy,class_group_sizes,coverage_ratio,p_opt,pairwise_fidelity_mean,pairwise_fidelity_std,pairwise_fidelity_max,pairwise_fidelity_count,frame_potential_2,single_qubit_purity_mean,single_qubit_purity_std,single_qubit_purity_min,single_qubit_purity_max,gram_rank_numeric,gram_lambda_min,gram_lambda_max,gram_trace,duplicate_fidelity_threshold,duplicate_threshold_exceeded,p_succ_full,gap_abs_full,p_succ_random_sparse,gap_abs_random_sparse,p_succ_walsh_deg1,gap_abs_walsh_deg1,num_ucr_params_full,num_ucr_params_degree1_budget,num_ucr_params_random_sparse,num_ucr_params_walsh_deg1,random_sparse_execution,random_sparse_theta_dim_full_reference,random_sparse_trainable_param_count_total,sparse_budget_rule,sparse_frozen_fill,optimizer_name,learning_rate,learning_rate_schedule,max_steps,eval_interval,threshold,num_restarts,stopping_rule,aggregation_rule,best_restart_full,best_restart_random_sparse,best_restart_walsh_deg1,seed_opt_full,seed_opt_random_sparse,seed_opt_walsh_deg1,num_steps_full,num_steps_random_sparse,num_steps_walsh_deg1,termination_reason_full,termination_reason_random_sparse,termination_reason_walsh_deg1,wall_clock_sec_full,wall_clock_sec_random_sparse,wall_clock_sec_walsh_deg1
0,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260504,1994040886,20360504,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8372309970506381,0.12749558324338398,0.1232122863484375,0.40816287381738336,15,0.19286365937814998,0.6651193359859996,0.0774765260729259,0.5475039480229504,0.8380949646585012,6,0.16621395919604567,2.540055558532382,6.0,0.98,False,0.8372310986780145,-1.0162737640317943e-07,0.8372310954170713,-9.8366433221031e-08,0.8372311042108587,-1.0716022058598895e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,25,36,17,25,36,17,550,400,300,threshold,threshold,threshold,7.710120603442192,4.037987682968378,3.2152187302708626
1,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260505,980209883,20360505,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8107263542784335,0.15059089926985225,0.10942982727756895,0.4090811553674544,15,0.1955437550340845,0.7052274373115885,0.07052158271296442,0.5971103028185084,0.8374242183372436,6,0.058868851761021954,2.7385983148601962,6.0,0.98,False,0.8107265906747332,-2.363962996465574e-07,0.7437645346216701,0.0669618196567634,0.8107265928658267,-2.3858739317539346e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,14,48,45,14,48,45,400,600,300,threshold,threshold,threshold,5.492789089679718,6.140242174267769,3.388455905020237
2,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260506,768071746,20360506,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8531928227911072,0.10667923128057118,0.0954992292552603,0.3070030527903763,15,0.183750467645802,0.6880862653953321,0.12764492982467787,0.5198565128697962,0.8606886073467277,6,0.16604623384854145,2.2617024922434235,6.0,0.98,False,0.8531934263956452,-6.03604538018665e-07,0.7476050446267604,0.10558777816434683,0.8531934292714564,-6.064803491634407e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,29,2,20,29,2,20,400,500,300,threshold,threshold,threshold,5.335578652098775,5.175090102478862,3.2004569340497255
3,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260507,1734564141,20360507,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8451461163669091,0.10012560225955967,0.14134968303318368,0.6024885223108558,15,0.19167072426785087,0.6285556111413197,0.09826361248433327,0.5137468850004275,0.8655061658285882,6,0.05830538978971513,2.2331164220542705,6.0,0.98,False,0.8451453818871422,7.344797668951131e-07,0.8451453858469575,7.305199515306171e-07,0.8451453858975638,7.304693452336863e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,20,47,8,20,47,8,400,600,350,threshold,threshold,threshold,5.56912793405354,7.192645827308297,3.50220232270658
4,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260508,636702486,20360508,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8145230890342146,0.13968060719176323,0.10941303353483074,0.3447248290878696,15,0.1929015699439613,0.6719945396816427,0.09711443141781687,0.5321310241795191,0.8654667839651747,6,0.10261227508273593,2.515534852068795,5.999999999999999,0.98,False,0.8145230089124018,8.012181273997498e-08,0.7088280649837535,0.10569502405046105,0.8145230183813112,7.065290330565688e-08,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,38,46,17,38,46,17,450,400,300,threshold,threshold,threshold,6.424868350848556,4.723729556426406,2.996863966807723
5,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260509,1157600670,20360509,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.808162095782045,0.12316556021415556,0.09818935464866684,0.3123953365011639,15,0.18734242049099034,0.6262034064554387,0.06299570189468559,0.516244827675697,0.7407658688677623,6,0.03524993440179593,2.235565762701657,6.0,0.98,False,0.808162106266575,-1.0484530021948046e-08,0.703094960697525,0.10506713508452004,0.8081621122948072,-1.651276215763886e-08,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,40,5,33,40,5,33,400,600,350,threshold,threshold,threshold,5.664115672931075,6.242672149091959,3.830441553145647
6,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260510,569379569,20360510,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.7841216964770898,0.148047552130722,0.10534022677795339,0.3363806814045702,15,0.19417886755794123,0.6855851908925102,0.1088833458408985,0.5189456272358949,0.9311843966043041,6,0.07529094606621095,2.413004075662116,6.0,0.98,False,0.7841217308674479,-3.4390358005786936e-08,0.7841217327653691,-3.628827927038003e-08,0.784121733864896,-3.7387806184341343e-08,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,20,31,6,20,31,6,350,350,350,threshold,threshold,threshold,4.906319307163358,3.732324432581663,3.961960732936859
7,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260511,281726802,20360511,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8326231829479218,0.11948671685901013,0.10811326956314166,0.3397514741600219,15,0.18830462880114815,0.6744902645608926,0.09496913849076755,0.513394502924124,0.872975178784043,6,0.07658601018456523,2.4396857197387156,6.0,0.98,False,0.8326238692764902,-6.86328568422212e-07,0.8326238724271434,-6.89479221605005e-07,0.8326238726072537,-6.896593318650446e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,27,4,10,27,4,10,400,350,350,threshold,threshold,threshold,5.4562929179519415,3.7633585557341576,3.610960178077221
8,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260512,2018255730,20360512,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8549754633993585,0.10047141452712403,0.05521944636465846,0.19037615106602176,15,0.17761974366158392,0.6356919631075406,0.06555184578267523,0.5583939750999015,0.761333260766085,6,0.13017760828035105,2.011014066270337,6.0,0.98,False,0.8549753124216644,1.509776941244212e-07,0.7386624041569286,0.11631305924242985,0.8549753195157044,1.4388365410233916e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,40,17,20,40,17,20,350,350,300,threshold,threshold,threshold,4.416004676371813,4.715749777853489,2.931567745283246
9,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260513,139065776,20360513,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8428527971837949,0.12948021835090753,0.11679008801691323,0.3547060575008845,15,0.19200420966933093,0.6991223335035467,0.09727862597464447,0.5429056412784701,0.8742779964000535,6,0.20803259676830924,2.4164949347988665,6.0,0.98,False,0.842853106882113,-3.09698318101681e-07,0.8428531146712408,-3.1748744588888655e-07,0.8428531151382614,-3.1795446653326565e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,24,10,49,24,10,49,450,450,350,threshold,threshold,threshold,5.804672941565514,4.889543613418937,4.014587348327041
0,3,8,7,0.875,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260504,1994040886,20360504,12,False,record_only,uniform,8,7,drop_extra,"[1, 1, 1, 1, 1, 1, 1]",0.875,0.7909328151064925,0.15171489700556912,0.1364678173933463,0.4188572498986701,21,0.17854932156358352,0.6717319323425857,0.0747029768202976,0.5475039480229504,0.8380949646585012,7,0.07534884337696149,3.0951522200792407,7.0,0.98,False,0.7909326548357342,1.6027075833147109e-07,0.6918753356871137,0.09905747941937881,0.7909326603544707,1.5475202175263547e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,25,2,8,25,2,8,500,600,300,threshold,threshold,threshold,7.377305991947651,6.997477672994137,3.899563852697611
1,3,8,7,0.875,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260505,980209883,20360505,12,False,record_only,uniform,8,7,drop_extra,"[1, 1, 1, 1, 1, 1, 1]",0.875,0.7760260591751738,0.14476337712250767,0.10877089156540788,0.4090811553674544,21,0.1709607504638689,0.6916556142616184,0.07906508954932355,0.5264431875438146,0.8374242183372436,7,0.04962968516443911,2.9438379823775707,7.0,0.98,False,0.7760253687573943,6.904177795030719e-07,0.7760253735301844,6.856449893399841e-07,0.7760253736738171,6.855013566786639e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,14,20,31,14,20,31,400,350,350,threshold,threshold,threshold,5.95985116623342,4.629545267671347,3.725437130779028
2,3,8,7,0.875,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260506,768071746,20360506,12,False,record_only,uniform,8,7,drop_extra,"[1, 1, 1, 1, 1, 1, 1]",0.875,0.8156119746907458,0.09843802977281978,0.09095660499376645,0.3070030527903763,21,0.15825412831218283,0.6774373755461539,0.12226873452819452,0.5198565128697962,0.8606886073467277,7,0.042563435298494594,2.351752412774374,7.0,0.98,False,0.8156123061829095,-3.3149216371874957e-07,0.8156123198615134,-3.4517076763496135e-07,0.8156123198467948,-3.45156049075257e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,18,9,6,18,9,6,450,350,300,threshold,threshold,threshold,6.512160517275333,5.93172787129879,4.481513252481818
3,3,8,7,0.875,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260507,1734564141,20360507,12,False,record_only,uniform,8,7,drop_extra,"[1, 1, 1, 1, 1, 1, 1]",0.875,0.8116078595984877,0.1012446235878172,0.12929527014191328,0.6024885223108558,21,0.16597234915986497,0.6157918449342601,0.09698604501921756,0.5078324075679939,0.8655061658285882,7,0.033793473942867525,2.3224341866120604,7.0,0.98,False,0.8116034185409529,4.441057534831927e-06,0.8116034239398706,4.435658617074623e-06,0.8116034240835498,4.435514937894958e-06,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,48,9,23,48,9,23,400,350,350,threshold,threshold,threshold,5.866637401282787,4.622314577922225,4.081994753330946
