experiment_id,benchmark_name,M,instance_id,n_sys,d,state_count,state_dim,rank_tol,rank,expected_rank,rank_equals_M,lambda_min,lambda_max,gram_trace,condition_number,max_offdiag_abs,pairwise_fidelity_mean,pairwise_fidelity_max,benchmark_seed,data_seed,ensemble_seed,benchmark_internal_seed,existing_gram_rank_numeric,rank_matches_existing,state_generation,stateprep_operation,stateprep_decomposition,label_payload
weyl_heisenberg,Weyl-Heisenberg,6,0,3,8,6,8,1e-10,6,6,True,0.11347884235830516,2.3340140948656662,5.999999563452124,20.56783490526018,0.6042199261177252,0.10517123779968612,0.36508171911770937,306000,606000,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[6, 1], [7, 1], [1, 1], [6, 3], [0, 1], [5, 6]]}"
weyl_heisenberg,Weyl-Heisenberg,6,1,3,8,6,8,1e-10,6,6,True,0.05512064371280309,2.8368187400361444,5.9999994962748096,51.46563154844335,0.8230596583035706,0.2176899228873654,0.6774272011267904,306001,606001,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[7, 2], [0, 6], [7, 0], [1, 2], [1, 4], [7, 1]]}"
weyl_heisenberg,Weyl-Heisenberg,6,2,3,8,6,8,1e-10,6,6,True,0.17777997180768457,1.882523696223386,5.999999522106933,10.58906510717544,0.5771996414505277,0.07584476474156318,0.33315942609061777,306002,606002,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[3, 1], [6, 0], [1, 2], [7, 3], [7, 7], [0, 3]]}"
weyl_heisenberg,Weyl-Heisenberg,6,3,3,8,6,8,1e-10,6,6,True,0.2864920093535775,1.7201888209934164,6.000000163872659,6.004316926237287,0.43226981775402806,0.05464488869353053,0.18685719534110062,306003,606003,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[7, 7], [0, 5], [6, 4], [6, 3], [6, 0], [4, 5]]}"
weyl_heisenberg,Weyl-Heisenberg,6,4,3,8,6,8,1e-10,6,6,True,0.12439878793613875,2.1915076686815507,6.000000006584627,17.616792776201173,0.44482946693022474,0.09158558569292524,0.1978732546494279,306004,606004,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 5], [3, 1], [6, 5], [6, 0], [3, 6], [4, 2]]}"
weyl_heisenberg,Weyl-Heisenberg,6,5,3,8,6,8,1e-10,6,6,True,0.05799856878445172,2.3603564181829793,6.0000004199561925,40.69680455314519,0.7214197560849908,0.11530311694164452,0.5204464644697275,306005,606005,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[2, 5], [5, 5], [7, 7], [4, 5], [3, 2], [7, 1]]}"
weyl_heisenberg,Weyl-Heisenberg,6,6,3,8,6,8,1e-10,6,6,True,0.16537254422125655,2.3298660803712155,6.000000257519636,14.088590650537627,0.5753844968048138,0.10641805941754541,0.3310673191633288,306006,606006,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 6], [2, 0], [0, 4], [7, 1], [6, 3], [7, 7]]}"
weyl_heisenberg,Weyl-Heisenberg,6,7,3,8,6,8,1e-10,6,6,True,0.10454075816723002,2.053920558454803,6.0000003136432545,19.647079229798788,0.5410111622979822,0.09821465256835321,0.2926930777310136,306007,606007,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 1], [5, 1], [3, 5], [2, 1], [1, 5], [0, 7]]}"
weyl_heisenberg,Weyl-Heisenberg,6,8,3,8,6,8,1e-10,6,6,True,0.07950927274087892,2.0550908400608265,6.000000165522679,25.847184475682187,0.6148627264978339,0.08882531742028912,0.3780561724363501,306008,606008,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[6, 5], [0, 5], [4, 2], [0, 4], [1, 4], [5, 1]]}"
weyl_heisenberg,Weyl-Heisenberg,6,9,3,8,6,8,1e-10,6,6,True,0.03789098376886321,2.5262410172148027,6.0000000823295085,66.67129659723253,0.8749970691953944,0.13745214008556775,0.7656198711005299,306009,606009,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[2, 0], [5, 6], [6, 7], [6, 2], [1, 1], [3, 2]]}"
